,system,ar,ar_up,ar_down,mplanet,mplanet_up,mplanet_down,rplanet,rplanet_up,rplanet_down,lambda,lambda_up,lambda_down,istar,istar_up,istar_down,psi,psi_up,psi_down,teff,teff_up,teff_down,mstar,mstar_up,mstar_down,rstar,rstar_up,rstar_down,prot,prot_up,prot_down,vsini,vsini_up,vsini_down
12,HAT-P-4,6.001086128900971,0.474024458921294,0.18919285257173,0.68,0.045999999999999,0.029,1.337,0.079,0.035,4.90000009536743,11.899999618530272,11.899999618530272,,,,,,,6036.0,46.0,46.0,1.270999999999999,0.12,0.07,1.6,0.116,0.041,0.0,0.0,0.0,5.829999923706054,0.300000011920928,0.300000011920928
13,HAT-P-6,7.428810681811647,0.371099648149808,0.371099648149808,1.062999999999999,0.057,0.057,1.395,0.081,0.081,165.0,6.0,6.0,,,,,,,6570.0,80.0,80.0,1.294999999999999,0.068,0.068,1.518,0.070999999999999,0.070999999999999,0.0,0.0,0.0,7.800000190734863,0.600000023841857,0.600000023841857
14,HAT-P-7,4.050714839593883,0.043254043104189,0.043254043104189,1.87,0.029999999999999,0.029999999999999,1.526,0.008,0.008,142.0,12.0,16.0,0.0,36.0,0.0,97.0,14.0,14.0,6310.0,15.0,15.0,1.59,0.029999999999999,0.029999999999999,2.02,0.01,0.01,0.0,0.0,0.0,2.700000047683715,0.5,0.5
15,HAT-P-8,6.400308078941738,0.198412655807125,0.198412655807125,1.274999999999999,0.052999999999999,0.052999999999999,1.321,0.04,0.04,17.0,11.5,9.199999809265137,,,,,,,6200.0,80.0,80.0,1.191999999999999,0.074999999999999,0.074999999999999,1.475,0.034,0.034,0.0,0.0,0.0,14.5,0.8000000119209281,0.8000000119209281
16,HAT-P-9,8.495784237542154,0.5551584951198361,0.5551584951198361,0.778,0.083,0.083,1.379999999999999,0.1,0.1,16.0,8.0,8.0,,,,,,,6350.0,150.0,150.0,1.28,0.1,0.1,1.339,0.08,0.08,0.0,0.0,0.0,12.5,1.7999999523162842,1.7999999523162842
17,HAT-P-11,16.55811316683833,0.29276759876658,0.29276759876658,0.0873,0.0097,0.0097,0.389,0.0053,0.0053,102.99999999999999,26.0,10.0,67.0,2.0,4.0,97.0,8.0,4.0,4780.0,50.0,50.0,0.802,0.028,0.028,0.683,0.008999999999999,0.008999999999999,29.31999969482422,1.0,1.0,1.0,0.949999988079071,0.560000002384185
18,HAT-P-12,11.930378583917108,0.303289859657103,0.303289859657103,0.201,0.012,0.012,0.919,0.023,0.023,54.00000000000001,13.0,41.0,,,,,,,4665.0,45.0,45.0,0.6909999999999991,0.023,0.023,0.679,0.012999999999999,0.012999999999999,0.0,0.0,0.0,0.990000009536743,0.419999986886978,0.46000000834465
19,HAT-P-13,5.367540603677391,0.163417107152138,0.163417107152138,0.906,0.029999999999999,0.029999999999999,1.487,0.041,0.041,1.8999999761581399,8.600000381469727,8.600000381469727,,,,,,,5653.0,90.0,90.0,1.32,0.062,0.062,1.756,0.045999999999999,0.045999999999999,0.0,0.0,0.0,1.700000047683715,0.400000005960464,0.400000005960464
20,HAT-P-14,8.255763208997339,0.308661797296491,0.308661797296491,2.270999999999999,0.083,0.083,1.219,0.058999999999999,0.058999999999999,170.89999389648438,5.099999904632568,5.099999904632568,,,,,,,6600.0,90.0,90.0,1.417999999999999,0.053999999999999,0.053999999999999,1.591,0.056,0.056,0.0,0.0,0.0,8.180000305175781,0.400000005960464,0.400000005960464
21,HAT-P-16,7.669549797170784,0.201673572136684,0.201673572136684,4.192999999999999,0.128,0.128,1.189999999999999,0.036999999999999,0.036999999999999,9.999999999999996,16.0,16.0,,,,,,,6140.0,72.0,72.0,1.216,0.055,0.055,1.157999999999999,0.025,0.025,0.0,0.0,0.0,3.900000095367431,0.8000000119209281,0.8000000119209281
22,HAT-P-17,22.633564010468724,0.671396927069502,0.671396927069502,0.534,0.017999999999999,0.017999999999999,1.01,0.029,0.029,18.999999999999996,14.0,16.0,,,,,,,5246.0,80.0,80.0,0.8569999999999991,0.039,0.039,0.8379999999999991,0.021,0.021,0.0,0.0,0.0,0.560000002384185,0.11999999731779,0.140000000596046
23,HAT-P-18,16.765674551295536,0.643189696407228,0.643189696407228,0.196,0.008,0.008,0.9469999999999992,0.043999999999999,0.043999999999999,132.0,15.0,15.0,,,,,,,4870.0,50.0,50.0,0.77,0.027,0.027,0.7169999999999991,0.025999999999999,0.025999999999999,0.0,0.0,0.0,1.580000042915344,0.180000007152557,0.180000007152557
24,HAT-P-20,11.362572932555793,0.13587648737371,0.13587648737371,7.219999999999999,0.359999999999999,0.359999999999999,1.024999999999999,0.052999999999999,0.052999999999999,7.999999999999997,6.900000095367431,6.900000095367431,52.32375872799031,16.033341609651075,11.0322580258659,36.93929172159747,12.38973414354409,17.649057059711264,4595.0,45.0,45.0,0.748,0.042,0.042,0.68,0.006,0.006,14.479999542236328,0.019999999552965,0.019999999552965,1.850000023841857,0.270000010728836,0.270000010728836
25,HAT-P-22,8.445863388150466,0.403787384422224,0.403787384422224,2.192,0.076999999999999,0.076999999999999,1.06,0.072999999999999,0.072999999999999,2.099999904632566,3.0,3.0,64.37282719083089,20.76678378442905,10.078471501229288,6.726543803352591,29.447407507911723,3.83972099096915,5314.0,50.0,50.0,0.936,0.042999999999999,0.042999999999999,1.062,0.048,0.048,28.700000762939453,0.400000005960464,0.400000005960464,1.649999976158142,0.259999990463256,0.259999990463256
